,address,categories,cc,city,country,crossStreet,distance,formattedAddress,id,labeledLatLngs,lat,lng,name,neighborhood,postalCode,state
439,,Bowling Alley,US,Chicago,United States,,1360,"['Chicago, IL 60647', 'United States']",4f6d409de4b08d8da5abb3ff,"[{'label': 'display', 'lat': 41.92277526855469, 'lng': -87.71281433105469}]",41.92277527,-87.71281433,strike and spare lockport,,60647,IL
441,,Indie Movie Theater,US,Chicago,United States,,941,"['Chicago, IL 60647', 'United States']",4f715161e4b0be6420c33dee,"[{'label': 'display', 'lat': 41.92459881779692, 'lng': -87.71751898541302}]",41.92459882,-87.71751899,Annies Shoulder,,60647,IL
23,Chicago,Park,US,Chicago,United States,Waveland,599,"['Chicago (Waveland)', 'Chicago, IL 60613', 'United States']",4f787b8ce4b09a0a54c58f11,"[{'label': 'display', 'lat': 41.949142, 'lng': -87.649531}]",41.949142,-87.649531,Daisies Practice!,,60613,IL
825,,Movie Theater,US,Des Plaines,United States,,1054,"['Des Plaines, IL 60018', 'United States']",4f79162fe4b0e8caa75ac5ff,"[{'label': 'display', 'lat': 41.89127030334827, 'lng': -87.61241140464524}]",41.8912703,-87.6124114,regal imax theater Lincolnshire il,,60018,IL
28,,Park,US,Chicago,United States,,954,"['Chicago, IL 60657', 'United States']",4f7f6db2e4b046b70081c98c,"[{'label': 'display', 'lat': 41.9354269500256, 'lng': -87.6478258901854}]",41.93542695,-87.64782589,Burling Park,,60657,IL
90,,Park,US,Chicago,United States,,923,"['Chicago, IL 60647', 'United States']",4f82b8d1e4b0880780e86615,"[{'label': 'display', 'lat': 41.91458511352539, 'lng': -87.677978515625}]",41.91458511,-87.67797852,Northside womens adventure bootcamp,,60647,IL
274,,Park,US,Chicago,United States,Lake Shore Drive And Michigan Ave,653,"['Lake Shore Drive And Michigan Ave', 'Chicago, IL 60611', 'United States']",4f8b06e0e4b0e67b868c89d5,"[{'label': 'display', 'lat': 41.900936821593014, 'lng': -87.62383205565175}]",41.90093682,-87.62383206,Oakstreet Gazebo,,60611,IL
1115,"808 S Lake Shore Dr, Chicago, IL 60605",Park,US,Chicago,United States,,1169,"['808 S Lake Shore Dr, Chicago, IL 60605', 'Chicago, IL 60605', 'United States']",4f97351be4b0c9bdcd2248fc,"[{'label': 'display', 'lat': 41.91785313179478, 'lng': -87.63399206032504}]",41.91785313,-87.63399206,Coach Brendan Speed Training,,60605,IL
176,,Movie Theater,US,Chicago,United States,Sangamon,968,"['Sangamon', 'Chicago, IL 60642', 'United States']",4f9744a6e4b096253a573861,"[{'label': 'display', 'lat': 41.895402, 'lng': -87.650312}]",41.895402,-87.650312,Amy's Chaise Lounge,,60642,IL
1679,,Park,US,East Chicago,United States,,1029,"['East Chicago, IN 46312', 'United States']",4f9c26dbe4b0b38d2f62e2bb,"[{'label': 'display', 'lat': 41.886701075719785, 'lng': -87.65629469256956}]",41.88670108,-87.65629469,Kosciuszko Park,,46312,IN
1673,2742 N. Avers,Park,US,Chicago,United States,,611,"['2742 N. Avers', 'Chicago, IL 60622', 'United States']",4f9c274ae4b0ef2f709ea65c,"[{'label': 'display', 'lat': 41.8901175, 'lng': -87.6540478}]",41.8901175,-87.6540478,Kosciuszko Park,,60622,IL
734,225 S Canal St,Park,US,Chicago,United States,Adams,940,"['225 S Canal St (Adams)', 'Chicago, IL 60606', 'United States']",4fa02661e4b09382e74104f4,"[{'label': 'display', 'lat': 41.886536931761654, 'lng': -87.62650240850758}]",41.88653693,-87.62650241,Union Station Secret Garden,,60606,IL
832,225 N Columbus Dr,Movie Theater,US,Chicago,United States,,1042,"['225 N Columbus Dr', 'Chicago, IL 60601', 'United States']",4fa089b5e4b0bed4faa2575e,"[{'label': 'display', 'lat': 41.88579858349328, 'lng': -87.62077590088008}]",41.88579858,-87.6207759,Aqua Theatre,,60601,IL
1365,Diversey Harbor 2601 N. Cannon Drive,Park,US,Chicago,United States,,1150,"['Diversey Harbor 2601 N. Cannon Drive', 'Chicago, IL 60614', 'United States']",4fa53782e4b01208fa7ee311,"[{'label': 'display', 'lat': 41.928732, 'lng': -87.634729}]",41.928732,-87.634729,N.O.C.C - Walk To Break The Silence on Ovarian Cancer,,60614,IL
2,524 W Melrose St,Elementary School,US,Chicago,United States,Broadway,468,"['524 W Melrose St (Broadway)', 'Chicago, IL 60657', 'United States']",4fabbb87e4b0c839881ab822,"[{'label': 'display', 'lat': 41.941346, 'lng': -87.642993}]",41.941346,-87.642993,Jcc room 205,,60657,IL
822,,Movie Theater,US,Chicago,United States,,534,"['Chicago, IL 60634', 'United States']",4fadb0e0e4b0df0ef72b8b32,"[{'label': 'display', 'lat': 41.89135311795662, 'lng': -87.61972981991092}]",41.89135312,-87.61972982,amc theaters,,60634,IL
3,524 W Melrose St,Elementary School,US,Chicago,United States,,484,"['524 W Melrose St', 'Chicago, IL 60657', 'United States']",4fb6a5ace4b039c1e773b29c,"[{'label': 'display', 'lat': 41.941345, 'lng': -87.642746}]",41.941345,-87.642746,Jcc Room 206,,60657,IL
607,,Park,US,Chicago,United States,,1079,"['Chicago, IL 60614', 'United States']",4fc15022e4b0519068a09a75,"[{'label': 'display', 'lat': 41.93047889359666, 'lng': -87.65994089964946}]",41.93047889,-87.6599409,Park,,60614,IL
1113,,Park,US,Chicago,United States,,1007,"['Chicago, IL 60610', 'United States']",4fc26b35e4b0a06f8ee68bf4,"[{'label': 'display', 'lat': 41.91631097316769, 'lng': -87.6338523032888}]",41.91631097,-87.6338523,lincoln park (Park B Q),,60610,IL
9,3580 N. Recreation Drive,Park,US,Chicago,United States,,900,"['3580 N. Recreation Drive', 'Chicago, IL 60657', 'United States']",4fc3ad46e4b07e3cda4dff51,"[{'label': 'display', 'lat': 41.95084132323553, 'lng': -87.64158167092694}]",41.95084132,-87.64158167,Waveland Park,,60657,IL
1405,,Beach,US,Chicago,United States,,767,"['Chicago, IL 60611', 'United States']",4fc3d3a9e4b06f6d241588d9,"[{'label': 'display', 'lat': 41.921575, 'lng': -87.629024}]",41.921575,-87.629024,Sand Bowl XXXMCLVQZ,,60611,IL
307,,Beach,US,,United States,,455,"['Illinois', 'United States']",4fc6ab64e4b0745861838ce8,"[{'label': 'display', 'lat': 41.902863199814085, 'lng': -87.62342715098626}]",41.9028632,-87.62342715,Oak Street Beach Vollyball,,,Illinois
314,,Beach,US,,United States,,823,"['Illinois', 'United States']",4fc6ae8be4b022d727c7a8b2,"[{'label': 'display', 'lat': 41.914092588044895, 'lng': -87.62484631594897}]",41.91409259,-87.62484632,Sun And Moon Beach Yoga,,,Illinois
1293,2740 W Armitage Ave,Park,US,Chicago,United States,California Ave & Armitage Ave.,521,"['2740 W Armitage Ave (California Ave & Armitage Ave.)', 'Chicago, IL 60647', 'United States']",4fcff4de7beb714aaabc4b9c,"[{'label': 'display', 'lat': 41.91725572856869, 'lng': -87.69681930541992}]",41.91725573,-87.69681931,Barkaround,,60647,IL
1866,,Park,US,Chicago,United States,,1143,"['Chicago, IL 60622', 'United States']",4fda9d21e4b0f61a09f66119,"[{'label': 'display', 'lat': 41.90302658081055, 'lng': -87.69353485107422}]",41.90302658,-87.69353485,Humboldt Park Police Role Call,,60622,IL
693,,Park,US,Chicago,United States,,1027,"['Chicago, IL 60647', 'United States']",4ff097b0e4b02f36dbded349,"[{'label': 'display', 'lat': 41.914322006669664, 'lng': -87.70530381488764}]",41.91432201,-87.70530381,Albany Bloomingdale Park,,60647,IL
2114,,Beach,US,Chicago,United States,,816,"['Chicago, IL 60622', 'United States']",4ff0e2c6e4b03357dcb33ae9,"[{'label': 'display', 'lat': 41.90487331703547, 'lng': -87.69105905950003}]",41.90487332,-87.69105906,The Shot Glass Shack,,60622,IL
583,,Elementary School,US,Chicago,United States,,862,"['Chicago, IL 60614', 'United States']",4ff1fb93e4b044471747db89,"[{'label': 'display', 'lat': 41.923042, 'lng': -87.638894}]",41.923042,-87.638894,FP Summer camp,,60614,IL
173,161 W Kinzie St,Movie Theater,US,Chicago,United States,Wells,1291,"['161 W Kinzie St (Wells)', 'Chicago, IL 60654', 'United States']",4ff65e1de4b07fe945d6f95b,"[{'label': 'display', 'lat': 41.89103, 'lng': -87.633699}]",41.89103,-87.633699,EnV TV lounge,,60654,IL
5,716 W Addison St,High School,US,Chicago,United States,Addison Street and Broadway,380,"['716 W Addison St (Addison Street and Broadway)', 'Chicago, IL 60613', 'United States']",4ff8d373e4b0887e5567dd64,"[{'label': 'display', 'lat': 41.9473861513795, 'lng': -87.64797026871604}]",41.94738615,-87.64797027,Lake View Academy,,60613,IL
664,,Indie Movie Theater,US,Chicago,United States,,541,"['Chicago, IL 60614', 'United States']",4ff8d863e4b0cdc6b8f998d7,"[{'label': 'display', 'lat': 41.92096509100158, 'lng': -87.64629864078047}]",41.92096509,-87.64629864,Movies In The Park - Oz Park,,60614,IL
